index,kind,channel,wa_GHz,wb_GHz,w_snail_GHz,spec_GHz,detuning_GHz,w_p_GHz,lam_spec,drag,drag_applied,drag_compare_window,eta_peak,g_iswap_eff_MHz,nearest_beat_GHz,nearest_kind,nearest_target,g_collision_MHz,status,F_avg,leakage,F_avg_drag,leakage_drag,dF_drag,n_spec,n_coupler,p_transfer,t_g_ns,wall_s
55,target,qubit_qubit,3.5,4.1,4.7,4.25,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.15,onepump,a,2.0,ok,0.36245748635509234,0.24284157771973947,,,,0.0004696256347719619,0.0022510597628300297,0.286570227600315,500.0,415.59509682655334
56,target,qubit_qubit,3.5,4.1,4.7,5.25,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.55,onepump,b,2.0,ok,0.36092283604695163,0.2337756823658077,,,,0.0001860440433480581,0.0006890226142158707,0.20104230849664204,500.0,453.94940066337585
57,target,qubit_qubit,3.5,4.1,4.7,5.35,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.65,onepump,b,2.0,ok,0.36593932796865625,0.24210562381176648,,,,7.536382897548181e-05,0.00527441614539259,0.3565164457833851,500.0,454.7395832538605
58,target,qubit_qubit,3.5,4.1,4.7,5.45,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.75,onepump,b,2.0,ok,0.36572822605635014,0.24148592304883088,,,,0.0002801781386958028,0.0009040838961237447,0.30804419404899513,500.0,448.7030689716339
59,target,qubit_qubit,3.5,4.1,4.7,5.55,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.85,onepump,b,2.0,ok,0.36566389154582135,0.2412390344238391,,,,0.000198392854375384,0.002397968147055475,0.2968830469672878,500.0,454.5734827518463
60,target,qubit_qubit,3.5,5.2,4.7,3.75,1.7,1.7,0.2,False,False,False,0.27778,1.0,0.25,static,a,2.0,ok,0.7588848310221977,0.022886690686124034,,,,0.00041756069443270045,0.007873119627849772,0.9873295860034518,500.0,478.1846022605896
61,target,qubit_qubit,3.5,5.2,4.7,3.85,1.7,1.7,0.2,False,False,False,0.27778,1.0,0.35,static,a,2.0,ok,0.7600472620520049,0.022544074386674717,,,,0.00037577202822961685,0.008104701178948072,0.987320651845803,500.0,487.3988502025604
62,target,qubit_qubit,3.5,5.2,4.7,3.95,1.7,1.7,0.2,False,False,False,0.27778,1.0,0.45,static,a,2.0,ok,0.7601449610721442,0.02310020005704083,,,,0.0013210469270897144,0.008916014966650126,0.9868451722784916,500.0,498.1779046058655
63,target,qubit_qubit,3.5,5.2,4.7,4.05,1.7,1.7,0.2,False,False,False,0.27778,1.0,0.55,static,a,2.0,ok,0.7078819068149875,0.07962873597086662,,,,0.00017600046521600328,0.006657685448095749,0.988980725396066,500.0,501.4471092224121
64,target,qubit_qubit,3.5,5.2,4.7,4.15,1.7,1.7,0.2,False,False,False,0.27778,1.0,0.65,static,a,2.0,ok,0.7616842153717818,0.021318925722650484,,,,0.0001931194432303618,0.005142052963473004,0.9904124939199428,500.0,499.83685064315796
65,target,qubit_qubit,3.5,5.2,4.7,4.25,1.7,1.7,0.2,False,False,False,0.27778,1.0,0.75,static,a,2.0,ok,0.7620500813502705,0.020904340234495944,,,,0.00017148051380389118,0.0037659934650884504,0.9919909304765534,500.0,504.2021450996399
66,target,qubit_qubit,3.5,5.2,4.7,5.25,1.7,1.7,0.2,False,True,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.748414338761983,0.025727620407514973,0.7532548026618594,0.02145792953305481,0.004840463899876357,0.00041811231508517133,0.0019793178037826272,0.9931300486306831,500.0,1985.3546335697174
67,target,qubit_qubit,3.5,5.2,4.7,5.35,1.7,1.7,0.2,False,False,False,0.27778,1.0,0.15,onepump,a,2.0,ok,0.7582175544629517,0.020558586948121516,,,,0.00010694959019401171,0.0012555458358367204,0.9955993644595322,500.0,865.8534400463104
68,target,qubit_qubit,3.5,5.2,4.7,5.45,1.7,1.7,0.2,False,False,False,0.27778,1.0,0.25,onepump,a,2.0,ok,0.7598704098305402,0.019492535839337854,,,,5.549212789146381e-05,0.0008124770556378247,0.9958075169133723,500.0,837.358074426651
69,target,qubit_qubit,3.5,5.2,4.7,5.55,1.7,1.7,0.2,False,False,False,0.27778,1.0,0.35,onepump,a,2.0,ok,0.7603742529185175,0.019120820429824548,,,,2.43270529544189e-05,0.0007895574035405293,0.9956804269286078,500.0,857.7729065418243
70,target,qubit_qubit,3.5,5.3,4.7,3.75,1.8,1.8,0.2,False,False,False,0.27778,1.0,0.25,static,a,2.0,ok,0.7494356970133536,0.02089292409882093,,,,0.0004164959051487851,0.008330397426411569,0.9868149670553512,500.0,808.3964993953705
71,target,qubit_qubit,3.5,5.3,4.7,3.85,1.8,1.8,0.2,False,False,False,0.27778,1.0,0.35,static,a,2.0,ok,0.7508024903063991,0.02047665762630002,,,,0.00037366111047044563,0.008181463868981846,0.9872459202588452,500.0,807.3869075775146
72,target,qubit_qubit,3.5,5.3,4.7,3.95,1.8,1.8,0.2,False,False,False,0.27778,1.0,0.45,static,a,2.0,ok,0.7517715413263063,0.01995908228656562,,,,0.00024716231834378427,0.0072486631584992665,0.9882087937776101,500.0,835.2243010997772
73,target,qubit_qubit,3.5,5.3,4.7,4.05,1.8,1.8,0.2,False,False,False,0.27778,1.0,0.55,static,a,2.0,ok,0.7525814543578991,0.019542448861662898,,,,0.00022573937464762998,0.006545913997756073,0.9892592912251331,500.0,824.1690723896027
74,target,qubit_qubit,3.5,5.3,4.7,4.15,1.8,1.8,0.2,False,False,False,0.27778,1.0,0.65,static,a,2.0,ok,0.7059982835767145,0.08435250070806266,,,,0.00017910083046089744,0.0050998027755744055,0.9908233065217771,500.0,834.2803201675415
75,target,qubit_qubit,3.5,5.3,4.7,4.25,1.8,1.8,0.2,False,False,False,0.27778,1.0,0.75,static,a,2.0,ok,0.7529206043902589,0.018613621800578017,,,,0.00040434730099881625,0.003791857213881325,0.9923467475495553,500.0,485.34923458099365
76,target,qubit_qubit,3.5,5.3,4.7,5.25,1.8,1.8,0.2,False,False,True,0.27778,1.0,-0.05,onepump,a,2.0,drag_compare,0.7618978149472653,0.015624673060250172,0.7531934859182553,0.022619219426825432,-0.008704329029009972,0.00046729943093278334,0.0013280217290040095,0.9890902673521648,500.0,1142.5050616264343
77,target,qubit_qubit,3.5,5.3,4.7,5.35,1.8,1.8,0.2,False,True,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.7351130096037906,0.02659955912438594,0.7384418180205188,0.023735025148317934,0.003328808416728224,0.000430448770854941,0.0011095294570211184,0.9897873120398889,500.0,1148.273579120636
78,target,qubit_qubit,3.5,5.3,4.7,5.45,1.8,1.8,0.2,False,False,False,0.27778,1.0,0.15,onepump,a,2.0,ok,0.7479210139858848,0.019009239700232605,,,,9.552741843061016e-05,0.0011650555442652888,0.9947451850014557,500.0,494.3174855709076
79,target,qubit_qubit,3.5,5.3,4.7,5.55,1.8,1.8,0.2,False,False,False,0.27778,1.0,0.25,onepump,a,2.0,ok,0.7499621952454727,0.017823738959804825,,,,3.6282374678258704e-05,0.0009507640178857729,0.9952364002494811,500.0,516.6711523532867
80,target,qubit_qubit,3.5,5.4,4.7,3.75,1.9,1.9,0.2,False,False,False,0.27778,1.0,0.25,static,a,2.0,ok,0.7438497220808374,0.02601121177002763,,,,0.0003360036588698401,0.008604226291387554,0.9854174415968575,500.0,470.8059432506561
81,target,qubit_qubit,3.5,5.4,4.7,3.85,1.9,1.9,0.2,False,False,False,0.27778,1.0,0.35,static,a,2.0,ok,0.7432147208577444,0.02674052769132118,,,,0.0003496458484667749,0.007822331019333596,0.9853177445334372,500.0,471.68361806869507
82,target,qubit_qubit,3.5,5.4,4.7,3.95,1.9,1.9,0.2,False,False,False,0.27778,1.0,0.45,static,a,2.0,ok,0.7449201545892037,0.02574085156204775,,,,0.00032071384545795476,0.007290031792908577,0.9865121727130389,500.0,478.08026790618896
83,target,qubit_qubit,3.5,5.4,4.7,4.05,1.9,1.9,0.2,False,False,False,0.27778,1.0,0.55,static,a,2.0,ok,0.7459324463555091,0.025176460132661282,,,,0.00022811459745628954,0.006808671860745231,0.9877127509094014,500.0,484.7082850933075
